Supplier,Spend_AUD,Treatment,NAICS,Factor_kgCO2e_per_USD2022,tCO2e,Basis
"GLOBAL HIRE AND SERVICE",266482,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KNIGHT FRANK AUSTRALIA P/L",262405,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GAP GEOPHYSICS AUSTRALIA",261346,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AUTOLINE PTY LTD",259618,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AM NETWORK PTY LTD",257617,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PSM MINING AUST P/L",250691,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"EAGLE DRILLING NQ P/L",249897,SERVICE-FUEL,213114,0.372,58.5,"Exploration drilling"
"AON RISK SERVICES AUST. LTD",244845,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DEPARTMENT OF RESOURCES",241955,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TRANSMIN PTY LTD",241465,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DM PROPERTY (QLD) PTY LTD",234119,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DELL AUSTRALIA P/L",232264,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TOWNSVILLE & SUBURBAN MEDICAL",227409,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PERTH MINT REFINERY",225693,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SCOPE SYSTEMS PTY LTD",223612,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FIELD SOLUTIONS GROUP P/L",217923,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NEWMANS REWINDING",217323,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"T&T MINING SERVICES PTY LTD",216935,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"LOSUGEN PTY LTD",216765,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PACIFIC RIM TECH SERVICES P/L",214794,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HOLLIMANS RURAL MITRE 10",212583,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FUCHS LUBRICANTS (AUSTRALASIA)",211005,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RCD INVESTMENTS PTY LTD",204742,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BOC GASES-MINOR CON 100345568",202475,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AUSDRAULICS",202178,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NEPHIN P/L T/AS THRIFTY",198100,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AGGREKO GENERATOR RENTALS",189239,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TURNERS ENGINEERING",188787,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MARUBENI EQUIPMENT FINANCE P/L",187901,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MILLS OAKLEY",186002,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ROUNDEL CIVIL PRODUCTS P/L",185918,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DISTINCTION SOLUTIONS",182750,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ASHURST AUSTRALIA",182596,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AM&KA LAWSON T/AS AML REPAIRS",180840,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BA EQUIPMENT GROUP PTY LTD",179322,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"IJKFLOW CONSULTING P/L",170116,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"EMERSON AUTOMATION SOLUTIONS",169000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BEHRE DOLBEAR AUSTRALIA P/L",168596,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GLOBAL WELDING SUPPLIES",167800,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DELLE BAITE GROUP P/L",165209,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AIRCOOL ELECTRICAL",164829,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DYNAMICS G-EX",158637,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CSTHIRE",158472,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KPMG",156820,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BT FLEET SERVICES P/L",151103,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
